Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
A,Agilent Technologies Inc. Common Stock,$140.41,0.76,0.544%,40343678285.00,United States,1999,1140192,Industrials,Biotechnology: Laboratory Analytical Instruments
AA,Alcoa Corporation Common Stock ,$42.78,2.05,5.033%,11052419542.00,United States,2016,4617514,Industrials,Aluminum
AAPL,Apple Inc. Common Stock,$223.45,1.44,0.649%,3377630649350.00,United States,1980,27785543,Technology,Computer Manufacturing
ABBV,AbbVie Inc. Common Stock,$201.68,1.21,0.604%,356236206492.00,United States,2012,4344564,Health Care,Biotechnology: Pharmaceutical Preparations
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),$2.22,0.01,0.452%,34973509890.00,Brazil,2013,14605006,Consumer Staples,Beverages (Production/Distribution)
ABNB,Airbnb Inc. Class A Common Stock,$137.82,0.95,0.694%,88428545946.00,United States,2020,4667018,Finance,Diversified Commercial Services
ABT,Abbott Laboratories Common Stock,$117.68,0.03,0.025%,204110689466.00,United States,,3005112,Health Care,Biotechnology: Pharmaceutical Preparations
ACGL,Arch Capital Group Ltd. Common Stock,$96.50,1.50,1.579%,36289581657.00,Bermuda,,1894214,Finance,Property-Casualty Insurers
ACI,Albertsons Companies Inc. Class A Common Stock,$18.55,0.10,0.542%,10746906865.00,United States,2020,2011391,Consumer Staples,Food Chains
ACM,AECOM Common Stock,$109.91,1.87,1.731%,14735276053.00,United States,2007,495486,Consumer Discretionary,Military/Government/Technical
ACN,Accenture plc Class A Ordinary Shares (Ireland),$345.49,1.59,0.462%,215987703757.00,Ireland,2001,1524413,Consumer Discretionary,Business Services
ADBE,Adobe Inc. Common Stock,$486.42,5.07,1.053%,214122084000.00,United States,1986,1571160,Technology,Computer Software: Prepackaged Software
ADI,Analog Devices Inc. Common Stock,$217.60,-6.59,-2.939%,108036975808.00,United States,,3740187,Technology,Semiconductors
ADM,Archer-Daniels-Midland Company Common Stock,$52.00,-3.30,-5.967%,24863385456.00,United States,,9022347,Consumer Staples,Packaged Foods
ADP,Automatic Data Processing Inc. Common Stock,$291.18,1.32,0.455%,118643300433.00,United States,,871126,Technology,EDP Services
ADSK,Autodesk Inc. Common Stock,$291.79,4.17,1.45%,62734850000.00,United States,,951319,Technology,Computer Software: Prepackaged Software
AEE,Ameren Corporation Common Stock,$87.66,1.64,1.907%,23389154114.00,United States,,1356727,Utilities,Power Generation
AEG,Aegon Ltd. New York Registry Shares,$6.42,0.07,1.102%,14152801096.00,Netherlands,,1633004,Finance,Life Insurance
AEM,Agnico Eagle Mines Limited Common Stock,$85.79,-0.10,-0.116%,42885244648.00,Canada,,1510292,Basic Materials,Precious Metals
AEP,American Electric Power Company Inc. Common Stock,$100.40,2.00,2.033%,53424847498.00,United States,,5073313,Utilities,Electric Utilities: Central
AER,AerCap Holdings N.V. Ordinary Shares,$95.66,1.72,1.831%,19370496451.00,Netherlands,2006,1495483,Consumer Discretionary,Diversified Commercial Services
AES,The AES Corporation Common Stock,$15.51,0.28,1.838%,11028029437.00,United States,,12613187,Utilities,Electric Utilities: Central
AFG,American Financial Group Inc. Common Stock,$127.44,0.63,0.497%,10692702184.00,United States,,237745,Finance,Property-Casualty Insurers
AFL,AFLAC Incorporated Common Stock,$105.56,1.05,1.005%,58641579699.00,United States,,2094252,Finance,Accident &Health Insurance
AFRM,Affirm Holdings Inc. Class A Common Stock,$45.60,1.91,4.372%,14186922614.00,United States,2021,7208555,Finance,Finance: Consumer Services
